time	theta_1	theta_2	theta_3	phi	psi	theta_1_dot	theta_2_dot	theta_3_dot	phi_dot	psi_dot	motor_1_mode	motor_1_theta	motor_1_angvel	motor_1_torque_limit	motor_1_torque	motor_2_mode	motor_2_theta	motor_2_angvel	motor_2_torque_limit	motor_2_torque	motor_3_mode	motor_3_theta	motor_3_angvel	motor_3_torque_limit	motor_3_torque
2059	-0.00306796157577	0.013805827091	1.73033032874	0	0	-0.0	-0.0	0.0	0	0	0	0	0.5	1	NaN	0	0	0.5	1	NaN	0	0	0.5	1	NaN
2084	-0.00306796157577	0.013805827091	1.73033032874	0	0	-0.0	-0.0	0.0	0	0	0	0	0.5	1	NaN	0	0	0.5	1	NaN	0	0	0.5	1	NaN
2109	-0.00306796157577	0.013805827091	1.73033032874	0	0	-0.0	-0.0	0.0	0	0	0	0	0.5	1	NaN	0	0	0.5	1	NaN	0	0	0.5	1	NaN
2134	-0.00306796157577	0.013805827091	1.72726236716	0	0	-0.0	-0.0	-0.138230076758	0	0	0	0	0.5	1	NaN	0	0	0.5	1	NaN	0	0	0.5	1	NaN
2159	-0.00306796157577	0.013805827091	1.71805848243	0	0	-0.0	-0.0	-0.322536845769	0	0	0	0	0.5	1	NaN	0	0	0.5	1	NaN	0	0	0.5	1	NaN
2184	-0.00306796157577	0.013805827091	1.70578663613	0	0	-0.0	-0.0	-0.368613538021	0	0	0	0	0.5	1	NaN	0	0	0.5	1	NaN	0	0	0.5	1	NaN
2209	-0.00306796157577	0.013805827091	1.6965827514	0	0	-0.0	-0.0	-0.414690230274	0	0	0	0	0.5	1	NaN	0	0	0.5	1	NaN	0	0	0.5	1	NaN
2234	-0.00306796157577	0.013805827091	1.6843109051	0	0	-0.0	-0.0	-0.460766922527	0	0	0	0	0.5	1	NaN	0	0	0.5	1	NaN	0	0	0.5	1	NaN
2259	-0.00306796157577	0.013805827091	1.6720390588	0	0	-0.0	-0.0	-0.368613538021	0	0	0	0	0.5	1	NaN	0	0	0.5	1	NaN	0	0	0.5	1	NaN
2286	-0.00306796157577	0.013805827091	1.65976721249	0	0	-0.0	-0.0	-0.414690230274	0	0	0	0	0.5	1	NaN	0	0	0.5	1	NaN	0	0	0.5	1	NaN
2311	-0.00306796157577	0.013805827091	1.64289342383	0	0	-0.0	-0.0	-0.506843614779	0	0	0	0	0.5	1	NaN	0	0	0.5	1	NaN	0	0	0.5	1	NaN
2338	-0.00306796157577	0.013805827091	1.62908759673	0	0	-0.0	-0.0	-0.552920307032	0	0	0	0	0.5	1	NaN	0	0	0.5	1	NaN	0	0	0.5	1	NaN
2364	-0.00306796157577	0.013805827091	1.61221380807	0	0	-0.0	-0.0	-0.460766922527	0	0	0	0	0.5	1	NaN	0	0	0.5	1	NaN	0	0	0.5	1	NaN
2394	-0.00306796157577	0.013805827091	1.59840798098	0	0	-0.0	-0.0	-0.506843614779	0	0	0	0	0.5	1	NaN	0	0	0.5	1	NaN	0	0	0.5	1	NaN
